claim,evidence,label
The parliament in Kenya sits three days a week.,"[""(c) to meet on any other day, in order to\ntransact business.""]",NOT ENOUGH INFO
The Kenyan judiciary sits six days in a week.,"[""During presidential election petition hearings in 2013 and in 2017, the judiciary sat on Saturday and Sunday."", ""\""Courts do not usually sit on Saturday or Sunday unless they have express permission from the chief justice in writing, and that has to be under exceptional circumstances,\"" Catherine Wambui""]",NOT ENOUGH INFO
"British writer and former communist Philip Spratt, wrote in 1939.
Gujarat, though economically advanced, is culturally a backward province… . Bengal in contrast is economically backward but culturally advanced.","[""the state of Gujarat was only formed in May1,1960,""]",REFUTED
The first slaves shipped to the American colonies in 1619 were 100 white children from Ireland.,"[""between 1610 and 1619 no record of white children or white slaves being shipped to the American colonies appears in The Library of Congress records."", ""White workers were not under slavery but indentured servitude. Indentured servitude was used as a form of contract labor in the British colonies of North America. Large numbers of German, English, and Scottish colonists arrived in North America as indentured servants. Some of them had been convicted criminals at home. The shortage of labor in the colonies occasionally led to people being kidnapped in Europe and transported to the Americas as indentured servants. The normal term of a contract was from four to seven years, after which the servant became free. This kind of contract was one means by which people too poor to come to the colonies were able to pay for their transportation. Contracts were often made with ship captains who, upon arrival in North America, sold the contracts to someone else.""]",REFUTED
In Kenya the judiciary sits six days in a week.,"[""During presidential election petition hearings in 2013 and in 2017, the judiciary sat on Saturday and Sunday."", ""\u201cCourts do not usually sit on Saturday or Sunday unless they have express permission from the chief justice in writing, and that has to be under exceptional circumstances,\u201d Catherine Wambui""]",REFUTED
Trump Will Remove Troops from Germany,"[""Since the 1989 fall of the Berlin Wall, the number of U.S. troops in Germany has been steadily reduced from about 200,000.""]",SUPPORTED
"Walmart Tweeted ""We wont be Rebuilding Walmarts in Cities without police""","[""No results for \""\""we wont be rebuilding Walmarts in cities without police\"" (from Walmart on twitter)""]",REFUTED
North Korea cancels all communication with South Korea.,"[""North Korea announced around the 9th of June that North Korea said it was suspending contact in anger at activist defectors who have fled to the South""]",SUPPORTED
Democratic assembly woman for the 143rd District of New York. Monica Wallace Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,"[""higher as is claimed."", ""Higher as is claimed.""]",SUPPORTED
"The Federal Police did not use chemical irritants to clear the area around St. John's Church in Washington, D.C.","[""They used pepper balls.""]",REFUTED
Joe Biden stated in a debate from July 2019 that fossil fuels including coal and fracking would be eliminated in a Biden administration.,"[""The plan is a long term plan to encourage the movement away from fossil fuels and towards more sustainable energy sources. \""he will demand that Congress enacts legislation in the first year of his presidency that: 1) establishes an enforcement mechanism that includes milestone targets no later than the end of his first term in 2025, 2) makes a historic investment in clean energy and climate research and innovation, 3) incentivizes the rapid deployment of clean energy innovations across the economy, especially in communities most impacted by climate change.\""""]",REFUTED
Prince Andrew is accused of pedophilia and was extremely close with Jeffrey Epstein.,"[""He was dragged into the scandal in 2015, when Virginia Roberts Giuffre claimed that she was forced to have underage sex with the duke in 2001."", ""Only Epstein was convicted of sex crimes and registered as a sex offender in 2008,""]",SUPPORTED
"Bill Gates is pushing vaccines and global depopulation, and he owns 15% of the WHO (World Health Organisation). The WHO is a business which is also owned by George Soros and the Rockerfellers.","[""Its not a business with owners.""]",REFUTED
Prince Harry and Meghan Markle left the royal family.,"[""After months of planning and negotiations, Prince Harry and Meghan Markle are beginning their transition into non-royal life today.""]",SUPPORTED
The US economy was crashed during the COVID-19 pandemic to drain all corrupt coins - this was best achieved through a 14-28 day lock down and money was re-distributed back to people on government grants.,"[""It was caused by the coronavirus outbreak."", ""The U.S. Response to Covid-19 Has Lavished Wealth on the Rich\nWhile the pandemic ravages American workers, the federal government has orchestrated a monumental transfer of wealth from the bottom of the economic ladder to the top.""]",REFUTED
"Thousands of arrests have been made in the US for child trafficking, human trafficking and sex abuse but the media is not reporting it. Nurses are coming forward speaking publicly about the fact they're treating hundreds of children in hospitals right now, not for Coronavirus but for malnutrition, some extremely deformed, and all with extreme psychiatric damage due to trauma.","[""An average of 672 children were being hospitalized every day in the US, as of 2 January - more than double the average just a week before. And the rate is rapidly increasing.""]",NOT ENOUGH INFO
"Rashida Tlaib claimed in 2020 that Detroit spend $294 million on police in 2019, and $9 million on health.","[""This URL has a chart which has the figures from 2019""]",SUPPORTED
"“India let 65 lakh tonne of grain go waste in four months, even as the poor went hungry.","[""They added a letter.""]",REFUTED
"A German Shephard dog in New York state, USA was the first domesticated dog in the United States to test positive for Covid-19 infection.","[""Recent reports of SARS-CoV-2 infecting creatures such as monkeys, dogs, ferrets, domestic cats and even a tiger have raised the possibility that the pathogen could plague other species\u2014including, perhaps, ones already imperiled by other, non-infectious threats."", ""The Department of Agriculture\u2019s (USDA) National Veterinary Services Laboratories confirmed earlier this week that a case of COVID-19 has infected a German shepherd in New York.\n\nThe dog was tested after it displayed signs of a respiratory infection. Additionally, one of the dog\u2019s owners had also tested positive for the disease, however, this was before the dog had shown signs of infection.""]",SUPPORTED
An elephant was 'fed' a pineapple laced with firecrackers and the incident took place in Kerala's Malappuram district.,"[""Kerala Chief Minister Pinarayi Vijayan tweeted , ...\n''In a tragic incident in palakkad dist, a pregnant elephant has lost its life. and that justice will prevail."", ""For snares, which are usually  fruits stuffed with explosives, that are commonly used as bait for wild boars either to kill them for meat or to stop them from destroying vegetation.""]",SUPPORTED
"US President Trump sent out a tweet claiming that he and Vice President Pence were escorted to the secret White House bunker, and that former President Obama had left it dirty and unsupplied.","[""There is no mention of food or supplies on Donald Trumps twitter.""]",REFUTED
The United States of America will be designating ANTIFA as a domestic Terrorist Organization.,"[""\u201cNo current legal authority exists for designating domestic organizations as terrorist organizations. Any attempt at such a designation would raise significant First Amendment concerns.\u201d\n\n@GeorgetownICAP\u2019s Mary McCord"", ""\""designation of a domestic organization as a terrorist organization would raise serious concerns about infringing on First Amendment rights and cause legitimate fears that the designation tool could be used wrongly to target unpopular ideologies\"". written by Mary B. McCord and Jason M. Blazakis , director of the Middlebury Institute of International Studies\u2019 Center on Terrorism, Extremism, and Counterterrorism.""]",SUPPORTED
"Derek Chauvin, the Minneapolis police officer charged with the death of George Floyd, was released from custody.","[""As of June 1, 2020, the former Minneapolis cop who was charged with murder and manslaughter in the death of George Floyd has been transferred to a maximum-security prison, according to a report.""]",REFUTED
"If you wear a surgical mask for a long time, you will start feeling weak.","[""While the weather may be getting cooler, which makes wearing a mask a little more comfortable than in the heat, many still find masks can make them feel faint over prolonged periods. As Dr. Hideki Taniguchi, a dehydration specialist, told the Financial Times back in 2020: \""[Wearing a mask] stops cool air coming in, which raises the temperature especially above the neck; it retains humidity, so the throat becomes dry and people forget to drink.\""""]",NOT ENOUGH INFO
Anthony Fauci director of the National Institute of Allergy and Infectious Diseases in the United States said “As soon as the Covid-19 vaccine is manufactured it must be immediately delivered to health care professionals world wide for immediate human injection. Proper studies can be performed later.”,"[""No vaccine can be approved without undergoing safety testing."", ""instead he said, \""\""We want to go quickly, but we want to make sure it's safe and it's effective,\"" Fauci said. \""I think that is doable if things fall in the right place.\""""]",REFUTED
Democrats want stimulus payments taken from Social Security and military.,"[""Is calls itself a 'satire' site"", ""state and local governments passed their own stimulus bills in addition to the American Rescue Plan Act of 2021.""]",REFUTED
"George Soros is ""funding the chaos (riots and protests)"" in Minneapolis via his Open Society Foundations.","[""There are many examples of their work against violence."", ""Hi Candace, Mr. Soros and the Open Society Foundations oppose all violence and do not pay people to protest. \n\nWe lament the effort, through baseless allegations, to distract from the crisis of police brutality in Minneapolis and in too many other parts of the country.""]",REFUTED
Hand sanitizer bottle can catch fire when left in a hot vehicle,"[""Several hand sanitizer products researched by AFP are marked flammable. Health Canada requires that alcohol-based hand sanitizers carry a flammability warning: \""Keep away from open flame and sources of heat.""]",REFUTED
Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.,"[""among these four polls, support for Trump wearing a mask ranges between 63% and 72% among all types of voters, but it drops to between 38% and 58% among Republicans. And the Navigation Research poll found that 54% of Republicans approve of Trump\u2019s decision not to wear a mask.""]",SUPPORTED
"The US is near the low end of per capita deaths, most places are 60 deaths per 100,000 the US is 29","[""the U.S. had more deaths per 100,000 people at the time of Kernen\u2019s comment than all but a handful of European countries: San Marino, Belgium, Andorra, Spain, the United Kingdom, Italy, France, Sweden, the Netherlands and Ireland.""]",REFUTED
"A man knocked down by vehicle in Toronto as reported May 2011, was identified as former Sri Lankan cricketer Sanath Jayasuriya","[""Sanath Jayasuriya confirmed in a Tweet that the news was fake.""]",REFUTED
"The Influenza, MMRV, Varicella, Rotavirus and Zoster vaccines  contain potassium chloride,","[""Active ingredients: Weakened forms of the live viruses that cause measles, mumps, and rubella.\n\nInactive ingredients: Sorbitol (14.5mg), sodium phosphate, potassium phophosphate, sucrose (1.9 mg), sodium chloride, hydrolyzed gelatin (14.5 mg), recombinant human albumin, fetal bovine serum, other buffer and media ingredients, neomycin (25 mcg)."", ""Active Ingredient: a weakened form of the varicella-zoster virus.\n\nInactive Ingredients: sucrose, hydrolyzed porcine gelatin, sodium chloride, monosodium L-glutamate, sodium phosphate dibasic, potassium phosphate monobasic, potassium chloride."", ""Active Ingredient: a weakened form of the varicella-zoster virus.\n\nInactive Ingredients: sucrose, hydrolyzed porcine gelatin, sodium chloride, monosodium L-glutamate, sodium phosphate dibasic, potassium phosphate monobasic, potassium chloride.""]",NOT ENOUGH INFO
Italy violated WHO rule and conducted an autopsy of a COVID-19 patient.,"[""In 20th March 2020 guidelines on precautions to be taken while conducting autopsies, burial and mortuary handling of COVID-19 victims. The guideline do not prohibit autopsies.""]",REFUTED
COVID-19 causes blood clotting.,"[""Research has shown that COVID-19 causes acute blood clots which combined with severe pneumonia can cause death.""]",SUPPORTED
"A Muslim man in Los Angeles, Mohamed Bzeek, has fostered over eighty terminal children.","[""Mohamed Bzeek - he's a foster parent in Los Angeles - who has been caring for terminally ill foster children for two decades.""]",SUPPORTED
"In May 2020 cases, numbers and deaths of COVID-19 were in decline, all over America.","[""Some states are seeing new cases rise and some have 'hot spots'.""]",NOT ENOUGH INFO
The Scientific Advisory Group for Emergencies said that the 1st of June 2020 was too soon to reopen UK schools.,"[""The Independent Scientific Advisory Group for Emergencies (iSAGE)  states that it is not safe to open schools on 1 June - not the official Scientific Advisory Group for Emergencies (SAGE)."", ""Independent SAGE is independent of government and does not answer to it. It does however share its work openly with the government as well as with the public.""]",REFUTED
Russia sent a plane with domestic medical items and equipment to New York whilst the coronavirus situation was stressful. Russia and the U.S each paid their respective costs for the equipment they supplied.,"[""The Russian direct investment fund stated - This is why RDIF paid half of the cost of medical supplies for clinics, hospitals and laboratories in New York. We are working with the U.S. companies to deliver supplies from the U.S. to Russia in case it is necessary, and several U.S. partners have also offered to pay for half of the cost.""]",SUPPORTED
"While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!","[""He didnt go to vacation""]",NOT ENOUGH INFO
California is in $54 billion debt in 2020.,"[""The debt is a projection based on current events for the next 14 months""]",REFUTED
"Nigeria was able to produce vaccines in the 1970s and 1980s,","[""A report showed that yellow fever vaccines were being produced at Federal Vaccine Production Laboratories, Yaba,\nLagos""]",SUPPORTED
Florida has a 'balanced budget' in 2020.,"[""State of Florida fiscal year end for 2019 was June 30th 2020, therefore the official statements and figures for that year were not published yet."", ""State of Florida fiscal year end for 2019 was June 30th 2020, therefore the official statements and figures for that year were not published yet.""]",NOT ENOUGH INFO
Nigeria has 69 research institutes,"[""Type of research institution is not mentioned.""]",NOT ENOUGH INFO
In 2019 some nurses starting their career got a pay rise of over 15%,"[""no and the maximum 12% increase doesn't account for inflation. In real terms, the band 5 starting salary increased by 6.7% between 2017/18 and 2020/21. But since 2010/11, it has fallen by a total of 3.2%.""]",REFUTED
Airline travelers to Florida must fill out a form at the airport with contact information and trip details and self-quarantine for 14 days,"[""See form in source.""]",SUPPORTED
19 million people in the UK have already been infected with the new coronavirus.,"[""The daily published cases in England in each of 149 Upper Tier Local\nAuthority (UTLA) areas were converted to Average Daily Infection Rate (ADIR), an R\nvalue\u2014the number of further people infected by one infected person during their infectious phase with Rate of Change of Infection Rate (RCIR) also calculated. Stepwise\nregression was carried out to see what local factors could be linked to differences in\nlocal infection rates."", ""Carl Bergstrom, a professor of biology at the University of Washington, has tweeted \""An odd research study out of U. Manchester today uses an indirect and, frankly, bizarre method to estimate the incidence in the UK as being vastly higher than that inferred using more direct approaches.\"""", ""Dr Konstantin Blyuss, Reader in Mathematics at the University of Sussex, said:\n\n\u201cThere are several problems with this study."", ""Dr Kucharski says, \u201cIt is likely that there is huge uncertainty in the estimates produced by the model used in this paper, and unfortunately this uncertainty is not reflected in the single value quoted in the paper and the press release.\u201d""]",REFUTED
TheJournal.ie is closing down.,"[""\u201cTheJournal.ie is fully operational and the news team will continue to work hard to bring our audience the best-quality information throughout this Covid-19 crisis and beyond, including our award-winning factchecking project.\u201d""]",REFUTED
"World Bank blacklisted China Civil Engineering Construction Corporation, a company that has executed projects in Nigeria under foreign agreements with China.","[""It established the CCECC NIGERIA LIMITED."", ""Some Chinese companies in Nigeria have been blacklisted by the World Bank for fraud and corruption.\n\nThe companies include China Railway Construction (International) Nigeria Company Limited, China Railway 18th Bureau Nigeria Engineering Company Limited, CCECC Nigeria Lekki (FTA) Company Limited, CCECC Nigeria Railway Company Limited, CRCC Petroleum & Gas Company Limited, and CCECC Nigeria Company Limited.""]",SUPPORTED
India has gone through the entire three months without a single person starving.,"[""Several centring workers and contractors in and around Moosapet and Kukatpally areas are on the verge of starvation, and desperately await support from government and non-government organisations."", ""A survey revealed that almost 74 per cent \u2014 almost three out of four surveyed \u2014 said they had started eating lesser than before to cut costs and 61 per cent households did not even have enough money to buy a week's ration.""]",REFUTED
"Until 12 March, the government’s advice said it was ‘very unlikely’ people in care homes will become infected.","[""This guidance was withdrawn on 13 March 2020""]",SUPPORTED
U.S. Rep. Alexandria Ocasio-Cortez authored a bill that would strike from the voting rolls anyone in the United States who is 65 or older.,"[""The source is clearly satire and not genuine.""]",REFUTED
Internment camps operated by the US Federal Emergency Management Agency have been stocked with modernized guillotine devices.,"[""It does appear in a reliable source's list of Fake news websites""]",REFUTED
The United States is unmatched and unrivalled in its coronavirus testing capacity.,"[""Though the United States has ramped up testing from 150,000 tests per day from a month ago to 300,000 per day recently, the current rate still remains far behind the five million daily target he (Donald Trump) himself set last month.""]",REFUTED
Pelosi's Daughters Were Arrested Breaking Into Liquor Store For 'Quarantine Supplies',"[""The women shown are women involved in smuggling drugs fromPeru."", ""Her children are named Nancy, Christine, Jacqueline, Paul and Alexandra""]",REFUTED
"Joe Biden said voting by mail is a way to “fundamentally change this country,”.","[""During his May 4th Town Hall speech"", ""He was talking providing a liveable wage and paid sick leave to workers including meat packers and grocery store clerks.""]",REFUTED
The Canadian government included Black Rifle Coffee Company products in its recent assault-style weapons ban.,"[""Not listed""]",REFUTED
Thrombosis is The Leading Cause Of COVID-19 Deaths,"[""COVID-19 is a hypercoagulable state with an increased risk of thromboembolism in hospitalized individuals (typically venous but may be arterial)."", ""In several studies of those who died of COVID-19, acute respiratory failure was the leading cause of death.""]",REFUTED
FDA Approved Remdesivir As A Treatment For Coronavirus.,"[""The United States FDA has made Veklury (remdesivir) available under an emergency access mechanism called an EUA.\nThe EUA is supported by a Secretary of Health and Human Service (HHS) declaration that circumstances exist\nto justify the emergency use of drugs and biological products during the COVID-19 pandemic.\nVeklury has not undergone the same type of review as an FDA-approved or cleared product. FDA may issue an\nEUA when certain criteria are met, which includes that there are no adequate, approved, available alternatives.\nIn addition, the FDA decision is based on the totality of scientific evidence available showing that it is\nreasonable to believe that the product meets certain criteria for safety, performance, and labeling and may be\neffective in treatment of patients during the COVID-19 pandemic. All of these criteria must be met to allow for\nthe product to be used in the treatment of patients during the COVID-19 pandemic.""]",REFUTED
Congress MP Rahul Gandhi said weak upa policies were embraced by the current govt.,"[""In an interview with obel laureate Professor Abhijit Banerjee, Banerjee said Banerjee said the policies put in place by the UPA regime were good but are currently inadequate because they don\u2019t cover a large section of the poor, migrants in particular.""]",REFUTED
Gloves shouldn’t be worn in public because if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.,"[""For the general public, wearing gloves is not necessary in most situations, like running errands. CDC recommends wearing gloves when you are cleaning or caring for someone who is sick.\nWearing gloves outside of these instances (for example, when using a shopping cart or using an ATM) will not necessarily protect you from getting COVID-19 and may still lead to the spread of germs.""]",SUPPORTED
Face masks cause inadvertent harm?,"[""A study did look at the various effects of wearing a mask and the corresponding stress on different physiological activities such as breathing,"", ""another fascinating study among surgeons who routinely wear the \u2018surgical mask\u2019 for operations, there was an increase in heart rates and a decrease in oxygen saturation of their blood, after one hour of putting on this type of mask. But the researchers reported these findings as not being conclusive,""]",NOT ENOUGH INFO
COVIDsafe app “hidden” rules could allow workplaces and supermarkets to bar people who haven’t installed the program on their phone.,"[""The Australian Government has also given clear indications that it will not be\nmandatory for any person to install or to use the App.""]",REFUTED
Aspirin combined with Honey & Lemon Juice will kill the Coronavirus,"[""While some western, traditional or home remedies may provide comfort and alleviate symptoms of mild COVID-19, there are no medicines that have been shown to prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials of both western and traditional medicines. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19 and will continue to provide updated information as soon research results become available.""]",REFUTED
"New York’s Andrew Cuomo and California’s Gavin Newsom, praise Trump amid the pandemic.","[""The Trump ad omits Cuomo\u2019s reference to \""working with the states,\"" but the essence of this statement in the ad is accurate. The ad portrays Cuomo as complimentary of Trump, even though the governor at times has been one of the most high-profile critics of the Trump administration\u2019s pandemic response.\n\nBefore the pandemic, Newsom was a frequent Trump critic and in February called California the \""most un-Trump state in America.\"" During the pandemic, Newsom has praised Trump, and the president has returned the favor.\n\n In April, Cuomo said Trump was \""just wrong\"" in claiming the power to tell states when to lift restrictions, and days later Cuomo mocked Trump and suggested he wasn\u2019t doing enough to funnel funding and tests to the states.""]",NOT ENOUGH INFO
"Retail milk prices have gone up, farmer price pay has dropped","[""based on Class 1 fluid milk, the highest valued class of milk,Then in April, farmers were paid 5.6% higher than the year prior. May is the first month where 2020 was lower than that month in 2019""]",SUPPORTED
"The CDC made 30,000 COVID-19 Deaths Disappear","[""It is important to note that it can take several weeks for death records to be submitted to National Center for Health Statistics (NCHS), processed, coded, and tabulated. Therefore, the data shown on this page may be incomplete, and will likely not include all deaths that occurred during a given time period, especially for the more recent time periods. Death counts for earlier weeks are continually revised and may increase or decrease as new and updated death certificate data are received from the states by NCHS. COVID-19 death counts shown here may differ from other published sources, as data currently are lagged by an average of 1\u20132 weeks.""]",REFUTED
"A WhatsApp text that lists 21 dos and don’ts on how to resume life after the  COVID-19 lockdown has been ascribed to Indian Council of Medical Research (ICMR), New Delhi, India.","[""The media page has no postings of this list.""]",REFUTED
U.S. Is the Only Country With Lockdown Protests.,"[""Protests continued on Thursday against Michigan's stay-at-home order, alongside similar protests in suburban New York and Washington, D.C. Other demonstrations were held this week in North Carolina and Rhode Island"", ""There have been lockdown protests in several other countries including Lebanon, Iraq and India among others.""]",REFUTED
Top White House coronavirus adviser Dr. Anthony Fauci served on the Clinton Foundation’s board of directors for 20 years.,"[""There is no record of Dr Anthony Fauci being a current board member of the Clinton foundation."", ""Fauci is not listed as a member of the board in any of the Clinton Foundation\u2019s Form its Tax 990s from1998  to 2018, its most recent years available.""]",REFUTED
A satire website posted a story that AOC Proposed Ending Social Security Benefits After Age 75,"[""The published a story titled 'AOC Proposes Ending Social Security Benefits After Age 75'"", ""There about us page describes them as a 'network of parody, satire, and tomfoolery, or as Snopes called it before they lost their war on satire: Junk News'""]",SUPPORTED
"Soviet leader Nikita Khrushchev said in a speech, ""Your children's children will live under communism. You Americans are so gullible...""","[""There is no record of him saying this."", ""Khrushchev visted the United States from September 15th to 27th 1959. All his speeches were transcribed in the source. There is no record of him saying the exact stated claim."", ""In Ezra Taft Benson's 1966 speech, he relayed what Khrushchev allegedly said to him: \""You Americans are so gullible -- no you won't accept communism outright, but we'll keep feeding you small doses of socialism until you will finally wake up and find you already have communism.\""""]",REFUTED
Professor Tasuku Honjo said that coronavirus is “not natural”.,"[""Professor Honjo released a statement on 27 April saying: \u201cIn the wake of the pain, economic loss, and unprecedented global suffering caused by the COVID-19 pandemic, I am greatly saddened that my name and that of Kyoto University have been used to spread false accusations and misinformation.\u201d""]",REFUTED
Professor Tasuku Honjo worked in the Wuhan laboratory in China for four years.,"[""There is no evidence to suggest that Professor Honjo worked at the Wuhan laboratory in China.""]",REFUTED
The CDC does not Recommend That People Who Are Healthy Wear Facemasks,"[""It was updated on April 3 2020 to recommend the use of facemasks""]",REFUTED
The CDC has stopped reporting flu deaths because they are so low,"[""There are continuous weekly reports on the deaths caused by the flu throughout May till December 2020, available on the CDC website for past reports."", ""See CDC website showing graphs during that time.""]",REFUTED
Children in the U.S. don't seem to be getting COVID-19.,"[""There have been news reports on children's deaths caused by COVID-19.""]",REFUTED
A Facebook post defending the British government’s role in current NHS equipment shortages was written by Jennifer Saunders.,"[""The Facebook post says only: \""a message from Jennifer Saunders\""\nand \""written by Jennifer Saunders\"".""]",NOT ENOUGH INFO
US President Donald Trump tried to defund the National Institute of Health.,"[""Trumps 2018 budget proposed  and 18 percent cut to the Department of Health and Human Services, including a $5.8 billion reduction for the National Institutes of Health, or about a fifth of its budget."", ""Trumps budget proposal for fiscal 2020 included reduced funding of NIH.""]",SUPPORTED
Indian government is giving all willing citizens Rs 1000 under a 'Corona Aid Scheme',"[""Cash transfer measures are set to benefit farmers, rural workers, poor pensioners, construction workers, low-income widowers and more.""]",REFUTED
"Without Donald Trump's China travel ban, millions would have died of coronavirus","[""Trump introduced restrictions and limitations to travel but not an outright ban.""]",REFUTED
"Home Minister Anil Deshmukh said “No Hindu among those arrested in Palghar lynching incident"".","[""Home Minister ANIL DESHMUKH tweeted that the  lynching was a grotesque incident which happened due to rumours on social media about child kidnappers & thieves prowling in the area"", ""Addressing a press conference, Deshmukh said that there are no Muslims on the list.""]",REFUTED
There's a COVID-19 law that requires rent (or mortgage) refunds.,"[""The bill has attracted 27 House cosponsors, all Democrats. It awaits a potential vote in the House Financial Services Committee.\n\nOdds of passage are low in the Republican-controlled Senate."", ""No program like that exists""]",REFUTED
Was the Biden campaign correct in saying top CDC official was 'silenced'.,"[""She came under fire from the administration and has toned down her advisories.""]",REFUTED
Coronavirus started spreading in the US in November 2019.,"[""The outbreak only began in Wuhan, China, in December 2019""]",REFUTED
"The Safer at Home plan, implemented in Wisconsin, US during the COVID-19 pandemic, has prevented the death of at least 300 Wisconsinites.","[""The John Hopkins University said their scientific simulations showed about three times as many deaths had for the Safer At home not been implemented.""]",SUPPORTED
Being long term unemployed for a year or over nearly halves your chances of ever getting back into employment.,"[""It\u2019s not easy for people who are unemployed to find a job.""]",SUPPORTED
Drinking ash of Phyllostachys nigra (black bamboo) mixed with honey and cow’s milk is a potent treatment for COVID-19.,"[""2.1.2 Phyllostachys nigra (Lodd.) Munro Commonly known as \u201cblack bamboo\u201d, this is another major species in the genus Phyllostachys. Flavonoids extracted from black bamboo leaves have potent antioxidant activities (Hu et al., 2000; Zhang et al., 2002). Among these flavonoids, flavone c-glucosides and p-coumaric acid reportedly have long retention time in the colon and may contribute to free radical scavenging (Zhang et al., 2007). Luteolin 6-C-(6\u2033-O-trans-caffeoylglucoside), an antioxidant isolated from the leaves, has been reported to protect against oxidative stress-induced cytotoxicity in retinal ganglion cells (Lee et al., 2010). It also enhances the activity of aldose reductase and inhibits the formation of advanced glycation end products, and therefore may potentially have a role in the prevention of diabetic complications (Jung et al., 2007).\nOrientin, another antioxidant obtained from the leaves of black bamboo, exerts vaso-relaxant activity through the inhibition of intracellular Ca2+ release and extracellular Ca2+ influx (Fu et al., 2005). Orientin also prevents apoptosis induced by hypoxia and reoxygenation in myocardium and cardiomyocytes. The mechanism for this effect is inhibition of the activation of mitochondrial apoptotic pathway (Fu et al., 2006). These studies suggest potential for cardio-protective effects.\n\nThe acetone fraction of the leaves of Phyllostachys nigra (Lodd.) Munro has been shown to enhance leukemia cell differentiation (Kim et al., 2007b), and inhibit interleukin-12 (IL-12) production in lipopolysaccharide-activated macrophages via decreasing NF-kappaB binding activity (Kim et al., 2007a). These preliminary findings suggest potential anti-leukemia and anti-inflammation effects of the acetone extract."", ""It's a myth"", ""there is no evidence to support the use of herbal supplements as a preventive measure/cure for COVID-19""]",REFUTED
China halted exports of face masks to US during the coronavirus pandemic,"[""China never stopped exports of facemasks. Instead, export restrictions were implemented meaning less facemasks were delivered to the United States but nevertheless implemented: \""Chinese officials have said they are intended to ensure the quality of exported medical products and to make sure needed goods aren\u2019t being shipped out of China.\""""]",REFUTED
"Prior to Nigeria’s former Chief of Staff Abba Kyari's death, Kyari was flown to the United Kingdom for medical treatment and his body was later cremated.","[""\u201cPlease do not attend an HCA UK facility for any reason if you have a high temperature (more than 37.8 degrees) or have a new continuous cough or streaming nose or flu-like symptoms. If you do have these symptoms or anyone in your household does, please follow Public Health England guidance,\u201d the company warns. \n\n\u201cWe are not accepting direct admissions of patients that have coronavirus. If you believe you have coronavirus symptoms, please follow guidance from the NHS [National Health Service].\u201d""]",REFUTED
Barcodes tell consumers where a product was manufactured.,"[""...since GS1 member companies can manufacture products anywhere in the world, GS1 prefixes do not identify the country of origin for a given product."", ""The prefix indicates the country where it was obtained."", ""The prefix indicates the country where it was obtained from, but does not determine the country in which the product was manufactured""]",REFUTED
"All vaccines contain MRC-5 cells, which are aborted fetal cells.","[""Code of Medical Ethics Opinion 7.3.5""]",REFUTED
There is always the possibility of an iatrogenic reaction to a vaccine.,"[""Vaccines can cause a risk of side effects or complications.""]",SUPPORTED
Immunization is compulsory in Canada,"[""Vaccination in Canada is voluntary.""]",REFUTED
Immunization is mandatory in the United States,"[""It refers to any enforced mandatory vaccination."", ""All 50 states have legislation requiring specified vaccines for students. Although exemptions vary from state to state, all school immunization laws grant exemptions to children for medical reasons. There are 44 states and Washington D.C. that grant religious exemptions for people who have religious objections to immunizations. Currently, 15 states allow philosophical exemptions for children whose parents object to immunizations because of personal, moral or other beliefs. Many states align their vaccine requirements with recommendations from the Centers for Disease Control and Prevention\u2019s Advisory Committee on Immunization Practices. At this time, no state requires children to receive the COVID-19 vaccine for school entry.""]",REFUTED
"Donald Trump tweeted in 2009 that ""Obama’s handling of this whole [H1N1] pandemic has been terrible! As President, ALL responsibility becomes yours during a crisis like this, whether or not you’re entirely to blame. John McCain, and myself for that matter myself, would never let thousands of Americans die from a pandemic while in office""","[""Trump Twitter Archive, a searchable database of Trump\u2019s tweets created by coder Brendan Brown."", ""The only tweets in November were on the 2nd, 16th and 26th."", ""This quote couldn't be found in Trump's Twitter archive.""]",REFUTED
Jay Leno Dead at 71,"[""Satire / Fake news.""]",REFUTED
"COVID-19 is sparing essential workers, so it's not so deadly.","[""...at least 79 of the New York Metropolitan Transit Authority's approximately 74,000 transit workers have died from COVID-19, nearly 3,000 have tested positive and more than 4,000 were out on quarantine as of April 20."", ""79 New York Metropolitan Transportation Authority workers have died of COVID-19.""]",REFUTED
Joe Biden said that OSHA (Occupational Safety and Health Administration) was not enforcing coronavirus guidelines when Donald Trump was US president.,"[""It is within their remit, as stated in their Guidance on Preparing\nWorkplaces for COVID-19....\nTo assure safe and healthful working conditions for\nworking men and women; by authorizing enforcement\nof the standards developed under the Act; by assisting\nand encouraging the States in their efforts to assure\nsafe and healthful working conditions; by providing\nfor research, information, education, and training in\nthe field of occupational safety and health.\u201d"", ""The National Employment Law Project, outlined complaints in a Hearing before the U.S. Senate\nCommittee on the Judiciary""]",NOT ENOUGH INFO
